,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,policy,model
103,25.0,185.578953960195,1.0,0.45046881198254707,149.2612164240902,10.0,0.32952178118924497,96.65982802911672,1.0,0.09200074146033058,334.71217927308896,10.0,0.7657931122956982,209.15096892961472,1.5,0.8529530978443283,3.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
104,87.0,47.65734414690206,1.0,0.1981229785296874,321.74905327702635,1.5,0.5253166577911326,291.83664822382394,1.5,0.11156145933022094,194.66185469800342,10.0,0.8753538507416934,60.094677177593496,1.0,0.8032459814322478,4.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
109,33.0,240.7553589887324,1.0,0.2355282317888704,279.842195862524,1.5,0.7320951381049257,323.30663363330797,10.0,0.11142352805832499,92.07939832833748,1.5,0.3044184987477421,135.13489705374388,1.0,0.08858185451441024,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
127,77.0,88.52041036666441,1.5,0.34594373919306065,100.42254829124492,1.0,0.4591877204185229,219.85360693236493,1.0,0.041227210256806125,136.11826598898296,10.0,0.4707291865463222,282.9693667373618,10.0,0.5130700378740556,1.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
138,49.0,335.5083640461478,1.5,0.4878319918776627,95.9288223137648,1.0,0.21947264426458207,323.5490777545383,1.5,0.057866609354075185,309.45315308987364,1.5,0.14153253091929754,168.9697423993111,1.5,0.1926822077501104,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
162,19.0,100.32020472007788,1.5,0.23526005765420746,170.53978025352248,1.5,0.21421131090228732,175.1612303463615,1.5,0.021158494270293256,279.5922555870236,1.0,0.8593603077925762,265.9797834926277,10.0,0.2086538970453463,3.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
178,5.0,347.68832739037333,1.5,0.10792555883165424,265.74510809444143,1.5,0.6257334458363134,303.79125064652766,10.0,0.04204297317786442,73.22106349901044,1.0,0.323870645088456,157.04989675969767,10.0,0.8559557265814979,1.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
216,21.0,35.72698309341665,1.0,0.2842554817338219,206.45621559285047,10.0,0.6128525872167747,80.75489516345854,1.5,0.05962348156391455,259.50379081228937,10.0,0.835899151313234,122.47506093191272,10.0,0.8437417213064122,2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
220,2.0,90.50114451230957,1.5,0.07408926787708324,42.97201913666585,1.5,0.5889775195312906,213.91590533219966,10.0,0.020128859821071127,163.36373452240204,1.5,0.4828107585067513,329.92190041987806,1.5,0.4215925382213303,4.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
234,87.0,89.56297177339573,1.5,0.290437733076968,176.8463992213356,1.0,0.6622164866728381,226.03052443550948,10.0,0.05174610961890429,206.51721087836793,1.5,0.8077689083629344,195.59976447871804,1.5,0.07199230669239523,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
253,51.0,328.3492055183444,10.0,0.1839956396341375,212.32009224349443,10.0,0.9774996629804124,169.53275294681274,1.5,0.00750200627978307,272.8990557801943,1.5,0.06414558814587358,344.8150244153688,10.0,0.9633673914346238,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
283,19.0,51.708205404355624,1.5,0.25903545042604664,206.70120322977127,1.5,0.7175943713587105,44.75015246038043,10.0,0.04059418990011469,111.41249088879536,1.5,0.35770368996353186,112.35279949687323,1.0,0.4405641615608343,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
293,119.0,254.06646265635467,1.5,0.1012631526382856,333.15299754232336,1.5,0.1914126263457967,136.19875235107546,1.0,0.07384870481164334,189.14961393755797,1.5,0.684473514394908,165.2521655241461,10.0,0.97288933194012,4.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
